ms,pos_z,vel_z,accel_z
246,3470.2065,-24.124327,-9.80665
247,3469.9644,-24.222393,-9.80665
248,3469.7212,-24.32046,-9.80665
249,3469.477,-24.418526,-9.80665
250,3469.232,-24.516592,-9.80665
251,3468.9858,-24.614658,-9.80665
252,3468.7388,-24.712725,-9.80665
253,3468.4907,-24.810791,-9.80665
254,3468.2417,-24.908857,-9.80665
255,3467.9917,-25.006924,-9.80665
256,3467.7407,-25.10499,-9.80665
257,3467.4888,-25.203056,-9.80665
258,3467.2358,-25.301123,-9.80665
259,3466.982,-25.399189,-9.80665
260,3466.727,-25.497255,-9.80665
261,3466.4712,-25.595322,-9.80665
262,3466.2144,-25.693388,-9.80665
263,3465.9565,-25.791454,-9.80665
264,3465.6978,-25.88952,-9.80665
265,3465.438,-25.987587,-9.80665
266,3465.1772,-26.085653,-9.80665
267,3464.9155,-26.18372,-9.80665
268,3464.6526,-26.281786,-9.80665
269,3464.3887,-26.379852,-9.80665
270,3464.1238,-26.477919,-9.80665
271,3463.858,-26.575985,-9.80665
272,3463.591,-26.674051,-9.80665
273,3463.3232,-26.772118,-9.80665
274,3463.0544,-26.870184,-9.80665
275,3462.7847,-26.96825,-9.80665
276,3462.514,-27.066317,-9.80665
277,3462.2422,-27.164383,-9.80665
278,3461.9695,-27.26245,-9.80665
279,3461.6958,-27.360516,-9.80665
280,3461.4211,-27.458582,-9.80665
281,3461.1455,-27.556648,-9.80665
282,3460.869,-27.654715,-9.80665
283,3460.5913,-27.75278,-9.80665
284,3460.3127,-27.850847,-9.80665
285,3460.0332,-27.948914,-9.80665
286,3459.7527,-28.04698,-9.80665
287,3459.4712,-28.145046,-9.80665
288,3459.1887,-28.243113,-9.80665
289,3458.9053,-28.341179,-9.80665
290,3458.6208,-28.439245,-9.80665
291,3458.3354,-28.537312,-9.80665
292,3458.049,-28.635378,-9.80665
293,3457.7617,-28.733444,-9.80665
294,3457.4734,-28.83151,-9.80665
295,3457.184,-28.929577,-9.80665
296,3456.8938,-29.027643,-9.80665
297,3456.6025,-29.12571,-9.80665
298,3456.3103,-29.223776,-9.80665
299,3456.017,-29.321842,-9.80665
300,3455.723,-29.419909,-9.80665
301,3455.4277,-29.517975,-9.80665
302,3455.1316,-29.616041,-9.80665
303,3454.8345,-29.714108,-9.80665
304,3454.5364,-29.812174,-9.80665
305,3454.2373,-29.91024,-9.80665
306,3453.9373,-30.008307,-9.80665
307,3453.6362,-30.106373,-9.80665
308,3453.3342,-30.20444,-9.80665
309,3453.0312,-30.302505,-9.80665
310,3452.7273,-30.400572,-9.80665
311,3452.4224,-30.498638,-9.80665
312,3452.1165,-30.596704,-9.80665
313,3451.8096,-30.69477,-9.80665
314,3451.5017,-30.792837,-9.80665
315,3451.1929,-30.890903,-9.80665
316,3450.883,-30.98897,-9.80665
317,3450.5723,-31.087036,-9.80665
318,3450.2605,-31.185102,-9.80665
319,3449.9478,-31.283169,-9.80665
320,3449.634,-31.381235,-9.80665
321,3449.3193,-31.479301,-9.80665
322,3449.0037,-31.577368,-9.80665
323,3448.687,-31.675434,-9.80665
324,3448.3694,-31.7735,-9.80665
325,3448.0508,-31.871567,-9.80665
326,3447.7312,-31.969633,-9.80665
327,3447.4106,-32.0677,-9.80665
328,3447.0889,-32.165768,-9.80665
329,3446.766,-32.263836,-9.80665
330,3446.4424,-32.361904,-9.80665
331,3446.1177,-32.459972,-9.80665
332,3445.792,-32.55804,-9.80665
333,3445.4653,-32.65611,-9.80665
334,3445.1377,-32.754177,-9.80665
335,3444.809,-32.852245,-9.80665
336,3444.4795,-32.950314,-9.80665
337,3444.149,-33.04838,-9.80665
338,3443.8174,-33.14645,-9.80665
339,3443.4849,-33.24452,-9.80665
340,3443.1514,-33.342587,-9.80665
341,3442.817,-33.440655,-9.80665
342,3442.4814,-33.538723,-9.80665
343,3442.145,-33.63679,-9.80665
344,3441.8076,-33.73486,-9.80665
345,3441.4692,-33.832928,-9.80665
346,3441.13,-33.930996,-9.80665
347,3440.7896,-34.029064,-9.80665
348,3440.4482,-34.127132,-9.80665
349,3440.106,-34.2252,-9.80665
350,3439.7627,-34.32327,-9.80665
351,3439.4185,-34.421337,-9.80665
352,3439.0732,-34.519405,-9.80665
353,3438.727,-34.617474,-9.80665
354,3438.38,-34.71554,-9.80665
